"property_id","price"
"0006c9478f4e7edc53d84916",525757396.94225
"00076c8f390d5dcccc133309",672887802.679408
"001399d3861c5792ccb8b515",700107593.883716
"0016e35cfd881ee2e37b49b3",588247952.614371
"001c03f6103d35389825b62e",625101508.532462
"001d77bfb387bdf0b53e9e83",627470769.199224
"001dbdd202e9908ee42713a8",645936033.12041
"00304df33a3c9a7e396ddd3a",633762540.244511
"0037d98f6ac46a86e36def45",559166132.186549
"0038a3b703f4ec779bbcfe6b",640162607.093899
"004776514ad269b380581066",571980433.372991
"004c9da9ef1b3b5e309e475a",587823162.748995
"00571815d5a7f208eb3e7737",667043379.317196
"00586a92b53f4a8f9f6b3022",656019881.245856
"005ab848b35907e42aa0f4f2",715190353.132861
"0064cd1c55914cc8370a096f",574827744.341306
"0083ef74db679d22463a1afe",578433553.877008
"00858277a3cf4f31b8e3f738",598473328.958624
"008c7a02d158f3b17ee8e015",580981626.465288
"00a5133e7373eae3f0be8f2e",574996513.185023
"00af33cff3ff7c6927306df4",601634623.997967
"00ba709f184e70be13e5bf9b",610962513.398641
"00bff9be2d524083e3b3149d",570819202.257256
"00c1165df93a4cfe679f54e2",614624332.774106
"00c75d59ed4777481a50cbd3",636245296.19
"00ce045307538da1b0bb7972",586235892.448214
"00cea81b78d6007eb405d5b3",636734873.158331
"00dd36caffef00fcde85b235",686811157.956652
"00dea98fbfbfeae74c513bb6",699625434.694094
"00e7c5894c739852052f566a",595281095.519334
"00e80be4feb1e8593b7713fe",563275739.228441
"00e9afbd1d27062a7bd40a3c",653775761.042948
"00eb120ba4410ed8efa24a8e",578853638.739891
"00f2621035b1969d53f03fca",676278563.843118
"00f5ba660a4fcf6ddb96220a",660434005.089401
"00f6a62599f25ac506113149",768313111.315673
"0100b3a412accebf6a3aa4b1",537260130.985752
"01018b9796a105be650ec802",639526666.471322
"010e676743f6afc01fd0838b",636489525.045633
"011a6d0f12ba108ef15076b4",535359530.446847
"011c2017b63235bf0ed3f241",570482930.520078
"01230eede2a4a74ec4ee5105",622181411.867478
"0123237414f757b9c3809f88",670628495.735058
"012b8d616667a6dcece0dfaf",710316917.013614
"013e2a07f94a99323b64d370",633005606.507782
"014799b9ef7d5244fb6640ff",755470677.976185
"0152ffa8757aaaf417e9f997",731189273.559211
"015d17895f32e2a8b616ca1b",604761235.091841
"01636da0aa2bc223af023a13",593460953.925319
"016bb199b12846ccb0b03191",639382501.566156
"016dd08801ad1a1e7f6e695b",573721217.265178
"0172678cb0737e21a317eda4",560605229.414073
"017487de3455d9f642a7fadc",664327674.0534
"0181972aeb6bf451012a47c6",685291334.706313
"0183b38955437e8d0128a013",702079736.398088
