"property_id","price"
"0006c9478f4e7edc53d84916",431153251.023052
"00076c8f390d5dcccc133309",789933377.124533
"001399d3861c5792ccb8b515",701135541.664833
"0016e35cfd881ee2e37b49b3",696341441.019678
"001c03f6103d35389825b62e",700891676.958957
"001d77bfb387bdf0b53e9e83",697294497.48627
"001dbdd202e9908ee42713a8",707320075.526545
"00304df33a3c9a7e396ddd3a",707725030.602271
"0037d98f6ac46a86e36def45",664750017.565346
"0038a3b703f4ec779bbcfe6b",695668841.794657
"004776514ad269b380581066",686843499.371349
"004c9da9ef1b3b5e309e475a",630586457.138685
"00571815d5a7f208eb3e7737",700872814.267308
"00586a92b53f4a8f9f6b3022",720945677.55584
"005ab848b35907e42aa0f4f2",752462601.041131
"0064cd1c55914cc8370a096f",653478831.061951
"0083ef74db679d22463a1afe",600434595.942396
"00858277a3cf4f31b8e3f738",579040070.211942
"008c7a02d158f3b17ee8e015",682021513.448268
"00a5133e7373eae3f0be8f2e",688458182.687449
"00af33cff3ff7c6927306df4",589664577.226694
"00ba709f184e70be13e5bf9b",695363752.971606
"00bff9be2d524083e3b3149d",683161076.075441
"00c1165df93a4cfe679f54e2",729469973.872725
"00c75d59ed4777481a50cbd3",694845790.991477
"00ce045307538da1b0bb7972",696978445.050475
"00cea81b78d6007eb405d5b3",697839701.146694
"00dd36caffef00fcde85b235",726596998.410565
"00dea98fbfbfeae74c513bb6",712563810.22007
"00e7c5894c739852052f566a",641958591.62055
"00e80be4feb1e8593b7713fe",625436003.539459
"00e9afbd1d27062a7bd40a3c",753575288.229285
"00eb120ba4410ed8efa24a8e",536904173.102564
"00f2621035b1969d53f03fca",751226529.766082
"00f5ba660a4fcf6ddb96220a",733672965.194814
"00f6a62599f25ac506113149",827076853.471944
"0100b3a412accebf6a3aa4b1",580892985.887224
"01018b9796a105be650ec802",710115085.576677
"010e676743f6afc01fd0838b",755533955.553952
"011a6d0f12ba108ef15076b4",628322196.000968
"011c2017b63235bf0ed3f241",691260414.682041
"01230eede2a4a74ec4ee5105",665191888.278877
"0123237414f757b9c3809f88",916373377.589729
"012b8d616667a6dcece0dfaf",745971772.262389
"013e2a07f94a99323b64d370",920543004.930104
"014799b9ef7d5244fb6640ff",734802229.233012
"0152ffa8757aaaf417e9f997",818666432.267702
"015d17895f32e2a8b616ca1b",646393547.580394
"01636da0aa2bc223af023a13",673561023.664155
"016bb199b12846ccb0b03191",706390203.858499
"016dd08801ad1a1e7f6e695b",617587448.002454
"0172678cb0737e21a317eda4",532157641.452871
"017487de3455d9f642a7fadc",721888115.634746
"0181972aeb6bf451012a47c6",768572181.913026
"0183b38955437e8d0128a013",711780208.491152
